
Grupo,PROMEDIO1,PROMEDIO2,PROMEDIO3,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,Viveconmadre,Viveconpadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,Numgrado,Edad,Hombre,Mujer
3 ,31.700,28.000,40.000,30.700,25,25,12,25,25,0 ,2,0,0,0,0,0,0,0,0,0,0,4,9,0,1
1 ,35.000,34.750,33.417,35.000,13,16,24,9,13,2 ,3,0,0,1,0,1,0,0,0,0,0,11,15,1,0
1 ,38.909,39.364,37.000,37.727,9,10,17,30,15,2 ,3,0,0,1,0,1,0,0,0,0,0,8,12,1,0
1 ,38.273,37.545,40.182,38.455,19,20,13,19,18,2 ,2,0,0,1,0,1,0,0,0,0,0,3,7,0,1
4 ,40.167,40.333,40.000,.000,10,12,16,11,1,2 ,2,0,0,1,0,1,0,0,0,0,0,12,16,0,1
1 ,38.400,38.300,36.400,38.300,15,17,15,12,15,4 ,2,1,0,0,0,0,0,1,0,0,0,5,11,0,1
1 ,37.200,38.000,37.900,37.900,17,13,15,16,16,4 ,2,1,0,0,0,0,0,1,0,0,0,6,12,0,1
1 ,37.182,37.636,37.545,37.636,22,19,19,20,20,4 ,2,1,0,0,0,0,0,1,0,0,0,3,8,0,1
3 ,39.273,39.000,40.455,40.273,16,11,10,8,10,4 ,2,1,0,0,0,0,0,1,0,0,0,7,13,0,1
1 ,39.500,39.900,40.400,39.800,15,13,13,15,15,4 ,2,1,0,0,0,0,0,1,0,0,0,4,10,0,1
2 ,35.700,34.900,34.800,35.800,22,21,26,22,23,4 ,2,1,0,0,0,0,0,1,0,0,0,4,9,0,1
3 ,30.455,31.000,31.727,32.091,21,21,20,13,18,3 ,2,0,0,1,0,1,0,0,0,0,1,8,16,1,0
2 ,45.700,44.400,45.400,45.500,4,2,3,2,3,1 ,2,1,0,0,0,0,0,1,0,0,0,4,9,0,1
2 ,33.750,29.833,34.000,34.167,23,29,22,22,21,2 ,2,0,0,1,0,0,0,0,1,0,0,11,15,0,1
5 ,40.909,39.545,41.545,41.091,10,11,8,8,9,2 ,2,0,0,1,0,0,0,0,1,0,0,10,11,0,1
4 ,38.667,34.750,32.083,34.417,6,12,25,21,13,2 ,2,0,0,1,0,0,0,0,1,0,0,9,13,0,1
4 ,40.909,39.545,41.545,41.091,10,11,8,8,9,2 ,2,0,0,1,0,0,0,0,1,0,0,7,11,0,1
2 ,42.100,42.900,42.300,42.800,10,6,6,6,7,2 ,2,0,0,1,0,0,0,0,1,0,0,4,8,0,1
3 ,38.333,38.417,38.917,.000,13,11,12,14,1,2 ,2,0,0,1,0,0,0,0,1,0,0,12,16,0,1
4 ,38.333,38.417,38.917,.000,13,11,12,14,1,2 ,2,0,0,1,0,0,0,0,1,0,0,12,16,0,1
1 ,37.200,36.800,36.200,37.200,20,15,20,17,17,1 ,2,1,0,0,0,0,0,0,0,1,0,5,9,1,0
2 ,38.750,36.000,.000,.000,21,21,1,20,0,1 ,2,1,0,0,0,0,0,0,0,1,0,12,17,1,0
3 ,35.900,34.200,35.200,35.300,17,23,23,23,24,1 ,3,1,0,0,0,0,1,0,0,0,0,5,9,1,0
1 ,43.167,42.500,42.333,.000,4,5,5,4,1,2 ,2,0,0,1,0,1,0,0,0,0,0,12,17,0,1
3 ,36.000,36.300,34.800,36.400,17,20,18,11,16,2 ,2,1,0,0,0,0,1,0,0,0,0,4,9,1,0
1 ,38.500,36.100,37.800,37.600,15,20,13,19,16,3 ,2,1,0,0,0,0,0,1,0,0,0,5,9,1,0
3 ,35.400,36.500,34.400,35.800,18,18,20,14,18,3 ,2,1,0,0,0,0,0,1,0,0,0,4,8,1,0
2 ,35.833,38.583,40.083,.000,24,17,13,18,1,1 ,1,1,0,0,0,0,1,0,0,0,0,9,17,1,0
3 ,42.300,41.200,38.900,40.200,3,6,7,14,8,2 ,3,0,0,1,0,1,0,0,0,0,0,5,10,1,0
1 ,35.750,36.250,36.167,35.917,11,11,14,21,14,2 ,3,0,0,1,0,1,0,0,0,0,0,10,14,1,0
1 ,38.583,33.333,33.333,35.250,11,26,25,16,15,2 ,3,0,0,1,0,1,0,0,0,0,0,9,13,1,0
1 ,40.182,37.545,34.091,36.909,6,11,16,19,11,2 ,3,0,0,1,0,1,0,0,0,0,0,7,11,1,0
3 ,26.750,31.250,33.917,30.917,30,28,25,29,29,3 ,2,0,0,1,0,0,0,1,0,0,0,9,13,1,0
3 ,39.400,37.800,37.300,38.300,13,15,16,15,16,3 ,2,0,0,1,0,0,0,1,0,0,0,6,10,1,0
4 ,34.417,34.750,34.500,34.667,17,12,15,13,12,2 ,2,0,0,1,0,1,0,0,0,0,0,9,13,0,1
1 ,34.900,33.900,37.600,36.500,27,28,20,20,24,2 ,2,0,0,1,0,1,0,0,0,0,0,2,6,0,1
2 ,36.909,32.818,34.455,34.909,17,26,15,23,19,2 ,2,0,0,1,0,1,0,0,0,0,0,7,11,0,1
4 ,41.333,39.750,36.417,40.083,6,6,9,5,6,4 ,2,1,0,0,0,0,0,1,0,0,0,10,16,0,1
