
Promedio1,Promedio2,PROMEDIO3,PROMEDIO4,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,ViveconMadre,ViveconPadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,Viudo,UnionLibre,NumGrado,Edad,Hombre,Mujer,Bajo,Intermedio,Notable,Alto
38.500,37.583,36.583,37.750,37.604,17,17,16,17,1,1 ,2,0,0,1,0,0,0,0,0,1,12,16,1,0,0,0,1,0
34.667,31.000,35.833,34.583,34.083,21,20,15,20,19,3 ,2,0,0,1,0,0,0,0,0,1,9,14,0,1,0,1,0,0
31.273,29.636,31.636,32.000,31.364,30,33,26,30,31,3 ,2,0,0,1,0,0,0,0,0,1,8,12,0,1,0,1,0,0
35.200,32.600,34.500,34.800,34.400,22,26,23,23,25,3 ,2,0,0,1,0,0,0,0,0,1,7,10,0,1,0,1,0,0
37.000,40.400,34.900,35.125,37.400,15,13,17,19,14,3 ,2,0,0,1,0,0,0,0,0,1,4,8,0,1,0,0,1,0
36.167,39.167,37.750,39.083,38.167,10,7,7,11,7,3 ,3,0,0,1,0,1,0,0,0,0,12,17,0,1,0,0,1,0
40.600,40.300,37.600,38.556,39.300,11,13,19,14,12,2 ,2,0,0,1,0,0,0,0,0,1,5,10,0,1,0,0,1,0
37.800,40.400,38.700,38.000,39.000,13,10,12,12,13,1 ,2,0,0,1,0,0,0,0,0,1,5,9,1,0,0,0,1,0
36.500,36.200,38.200,36.600,37.000,18,22,14,21,19,1 ,2,0,0,1,0,0,0,0,0,1,6,10,1,0,0,0,1,0
36.400,35.400,36.500,37.800,36.800,19,23,16,22,17,1 ,4,1,0,0,0,0,0,1,0,0,6,10,1,0,0,0,1,0
36.818,32.455,31.727,35.364,34.273,18,32,29,26,26,1 ,4,1,0,0,0,0,0,1,0,0,8,13,1,0,0,1,0,0
33.100,35.900,36.600,35.889,35.500,25,25,20,21,24,1 ,2,0,0,1,0,1,0,0,0,0,5,9,1,0,0,0,1,0
32.200,32.200,31.800,31.300,32.100,29,30,26,29,29,1 ,2,0,0,1,0,1,0,0,0,0,6,10,1,0,0,1,0,0
32.182,30.727,30.364,32.364,31.636,26,31,30,29,29,1 ,2,0,0,1,0,1,0,0,0,0,8,13,1,0,0,1,0,0
33.818,35.455,35.545,31.636,34.182,21,20,19,29,24,1 ,2,0,0,1,0,0,0,0,0,1,7,13,1,0,0,1,0,0
40.375,38.200,36.200,36.000,37.500,5,13,18,26,15,2 ,1,1,0,0,0,0,0,1,0,0,6,11,0,1,0,0,1,0
38.600,38.600,37.000,39.500,38.400,10,11,12,10,13,1 ,2,1,0,0,0,0,1,0,0,0,5,11,0,1,0,0,1,0
31.667,30.833,35.750,34.667,33.333,20,23,16,21,19,2 ,2,0,0,1,0,0,0,0,0,1,10,16,0,1,0,1,0,0
34.100,35.500,33.000,33.100,34.200,18,15,23,20,16,2 ,2,0,0,1,0,0,0,0,0,1,6,11,0,1,0,1,0,0
31.500,31.333,31.750,35.167,32.500,28,21,24,17,22,1 ,2,1,0,0,0,0,1,0,0,0,11,18,1,0,0,1,0,0
33.000,33.636,37.091,37.636,35.455,25,20,20,11,20,1 ,2,1,0,0,0,0,1,0,0,0,6,14,1,0,0,0,1,0
40.636,37.909,38.091,38.455,38.909,3,5,9,5,5,2 ,2,1,0,0,0,0,0,1,0,0,8,12,0,1,0,0,1,0
46.000,48.000,39.000,48.000,45.000,3,1,6,1,2,2 ,2,0,0,1,0,1,0,0,0,0,11,16,0,1,0,0,0,1
42.636,45.636,40.909,45.455,43.818,4,2,8,3,4,2 ,2,0,0,1,0,1,0,0,0,0,8,13,0,1,0,0,0,1
41.900,41.700,40.800,41.900,41.800,4,7,8,5,5,4 ,2,0,0,1,0,0,0,0,0,1,2,6,0,1,0,0,0,1
37.700,37.000,41.900,43.300,40.000,7,14,5,4,5,4 ,2,0,0,1,0,0,0,0,0,1,4,8,0,1,0,0,1,0
41.636,40.091,41.455,40.000,41.000,12,14,14,19,15,2 ,2,0,0,1,0,0,0,0,0,1,3,8,0,1,0,0,0,1
29.545,33.000,.000,31.455,23.500,30,23,1,27,0,2 ,2,0,0,1,0,0,0,0,0,1,8,13,0,1,1,0,0,0
38.100,38.600,38.200,39.600,38.800,14,15,12,15,13,2 ,2,0,0,1,0,0,0,0,0,1,4,9,0,1,0,0,1,0
35.100,36.800,36.600,40.900,37.500,19,19,18,10,17,2 ,2,0,0,1,0,0,0,0,0,1,2,7,1,0,0,0,1,0
37.200,36.400,36.400,39.400,37.400,7,12,11,5,8,2 ,2,0,0,1,0,0,0,0,0,1,6,11,1,0,0,0,1,0
38.200,39.300,43.200,38.800,40.000,15,17,13,24,17,1 ,2,0,0,1,0,0,0,0,0,1,3,7,1,0,0,0,1,0
35.800,32.000,30.400,28.600,31.800,16,29,31,28,28,1 ,2,0,0,1,0,0,0,0,0,1,4,9,1,0,0,1,0,0
45.700,47.300,47.000,48.000,47.100,1,2,2,1,1,2 ,2,1,0,0,0,0,0,1,0,0,5,9,0,1,0,0,0,1
46.900,46.900,47.600,47.400,47.300,1,2,2,1,1,2 ,2,1,0,0,0,0,0,1,0,0,6,10,0,1,0,0,0,1
44.600,42.600,45.600,45.200,44.700,4,4,2,2,2,2 ,2,1,0,0,0,0,0,1,0,0,4,8,0,1,0,0,0,1
44.800,44.800,44.800,44.800,44.800,0,0,0,0,1,2 ,2,1,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,1
35.500,36.300,38.600,34.300,36.200,23,22,19,24,22,1 ,2,1,0,0,0,0,0,1,0,0,5,11,1,0,0,0,1,0
36.000,36.455,36.636,32.364,35.545,26,26,26,28,29,1 ,2,1,0,0,0,0,0,1,0,0,3,8,1,0,0,0,1,0
40.300,36.700,36.500,37.600,37.900,17,23,22,22,23,1 ,2,1,0,0,0,0,0,1,0,0,4,10,1,0,0,0,1,0
41.200,46.000,44.000,46.300,44.500,4,1,1,1,1,2 ,2,0,0,1,0,0,0,0,0,1,5,9,0,1,0,0,0,1
46.500,45.900,43.100,44.700,45.100,2,2,5,1,2,2 ,2,0,0,1,0,0,0,0,0,1,2,6,0,1,0,0,0,1
45.400,44.700,46.100,45.300,45.500,1,1,1,1,1,2 ,2,0,0,1,0,0,0,0,0,1,6,10,0,1,0,0,0,1
43.600,43.700,44.600,44.800,44.300,1,1,1,1,1,2 ,2,0,0,1,0,0,0,0,0,1,6,8,0,1,0,0,0,1
44.636,44.364,45.182,44.364,44.818,2,1,1,1,1,2 ,2,0,0,1,0,0,0,0,0,1,7,11,0,1,0,0,0,1
36.700,36.100,37.000,35.300,36.400,8,7,5,11,7,1 ,2,1,0,0,0,0,1,0,0,0,4,11,1,0,0,0,1,0
40.300,35.600,36.300,37.100,37.400,8,19,18,11,15,1 ,2,1,0,0,0,0,0,1,0,0,6,8,1,0,0,0,1,0
